group_name	tissues
ASV007	LVM,PRL,LVR,RBL
ASV010	LVM,LVR,RBL,PRL
ASV078	LVR,RBL
ASV209	RBL
ASV415	RBL,LVM
ASV438	LVR
ASV480	LVM
ASV481	LVM
ASV543	LVM
ASV544	LVM
ASV697	LVR
